|      designation|        ra|       dec|r_k20fe|j_m_k20fe|j_msig_k20fe|j_flg_k20fe|h_m_k20fe|h_msig_k20fe|h_flg_k20fe|k_m_k20fe|k_msig_k20fe|k_flg_k20fe| k_ba|k_phi|sup_ba|sup_phi|  r_ext|j_m_ext|j_msig_ext|h_m_ext|h_msig_ext|k_m_ext|k_msig_ext|cc_flg|
|             char|    double|    double| double|   double|      double|        int|   double|      double|        int|   double|      double|        int|doubl|  int|double|    int| double| double|    double| double|    double| double|    double|  char|
|                 |       deg|       deg| arcsec|      mag|         mag|           |      mag|         mag|           |      mag|         mag|           |     |  deg|      |    deg| arcsec|    mag|       mag|    mag|       mag|    mag|       mag|      |
04370131+2451147    69.255493  24.854090    10.7    14.240        0.072           0    13.473        0.089           0    13.102        0.102           3 0.480    50  0.480      50   20.23  14.170      0.109  13.373      0.136  12.932      0.140 0      
04353990+2413033    68.916252  24.217609     5.8      null         null        null    14.580        0.180           0    13.856        0.134           0 1.000    90  1.000      90   12.37  15.827      0.257  14.152      0.233  13.495      0.182 0      
04365592+2420517    69.233002  24.347696    11.7    14.625        0.102           0    13.615        0.103           0    13.508        0.137           0 0.460   -35  0.460     -35   19.78  14.193      0.116  13.162      0.116  13.063      0.166 0      
04354035+2413160    68.918137  24.221113     5.1      null         null        null      null         null        null    14.131        0.138           3 1.000    90  1.000      90   10.20  16.517      0.446  15.473      0.434  13.795      0.186 0      
04350461+2409036    68.769234  24.151007     5.2    15.764        0.135           0    14.877        0.160           0    14.738        0.202           0 0.571   -15  0.571     -15    7.28  15.543      0.204  14.877      0.160  14.477      0.307 0      
04361660+2434381    69.069183  24.577272     5.4      null         null        null      null         null        null    13.729        0.124           2 1.000    90  1.000      90   10.44  15.761      0.242  14.844      0.268  13.530      0.188 0      
04351004+2417375    68.791847  24.293774     5.0    14.953        0.082           3    14.240        0.113           3    13.787        0.107           3 1.000    90  1.000      90   10.05  14.828      0.136  13.940      0.160  13.640      0.178 0      
04370396+2448307    69.266518  24.808535     5.0    15.415        0.125           0    14.348        0.121           0    13.916        0.126           0 1.000    90  1.000      90   11.40  15.287      0.210  14.303      0.226  13.570      0.175 0      
04370535+2427157    69.272331  24.454367     5.0    15.293        0.109           1    14.564        0.144           1    14.112        0.149           1 1.000    90  1.000      90   10.05  15.293      0.109  14.471      0.242  14.011      0.249 0      
04370345+2446557    69.264381  24.782146     5.0      null         null        null      null         null        null    13.988        0.134           0 1.000    90  1.000      90   10.05  15.775      0.243  15.233      0.381  13.796      0.209 0      
04364743+2449296    69.197655  24.824905    21.0    12.733        0.041           0    11.794        0.049           0    11.366        0.059           0 0.380    35  0.380      30   33.86  12.599      0.053  11.664      0.051  11.269      0.054 0      
04370352+2440007    69.264687  24.666866     5.0    15.641        0.150           0    14.498        0.135           0    14.265        0.171           0 1.000    90  1.000      90   10.05  15.607      0.267  14.242      0.203  13.874      0.218 0      
04334519+2533559    68.438332  25.565536     6.3    14.817        0.078           0    13.943        0.092           0    13.453        0.086           0 0.800    -5  0.600     -25   12.88  14.574      0.112  13.844      0.161  13.307      0.139 0      
04335843+2534499    68.493462  25.580528     5.0      null         null        null    14.496        0.137           1    14.146        0.143           1 1.000    90  1.000      90   10.05  15.870      0.248  14.425      0.243  14.063      0.248 0      
04295757+2419178    67.489876  24.321615     5.0    15.464        0.117           0    14.424        0.121           0    13.898        0.113           0 1.000    90  1.000      90   10.05  15.431      0.212  14.185      0.179  13.766      0.187 0      
04294414+2435145    67.433929  24.587385     7.4      null         null        null    14.627        0.161           0    13.800        0.115           0 0.575    85  0.575      85   22.17  16.451      0.397  14.400      0.327  13.335      0.168 0      
04285109+2424398    67.212914  24.411068     5.0      null         null        null      null         null        null    14.200        0.143           0 1.000    90  1.000      90   10.05  16.373      0.356  14.856      0.239  13.844      0.191 0      
04294366+2448095    67.431938  24.802664     5.0    15.892        0.171           0    14.454        0.123           0    14.222        0.150           0 1.000    90  1.000      90   10.05  15.676      0.265  14.191      0.184  14.208      0.274 0      
04290726+2410598    67.280266  24.183290     5.4    15.816        0.171           0    14.549        0.142           0    13.952        0.127           0 1.000    90  1.000      90   10.44  15.539      0.243  14.233      0.191  13.718      0.187 0      
04295625+2413468    67.484406  24.229670     5.0    15.461        0.117           0    14.265        0.104           0    13.986        0.123           0 1.000    90  1.000      90    8.06  15.085      0.145  13.949      0.137  13.946      0.213 0      
04293377+2413386    67.390717  24.227404    23.8    12.385        0.033           0    11.414        0.042           0    11.044        0.052           0 0.420   -35  0.360     -35   37.21  12.274      0.038  11.314      0.043  10.902      0.043 0      
04295070+2444185    67.461258  24.738476     6.6    14.862        0.073           0    13.827        0.073           0    13.327        0.075           0 0.640    50  1.000      90   13.47  14.746      0.118  13.779      0.131  13.075      0.104 0      
04293007+2439546    67.375298  24.665186     8.7    13.309        0.035           0    11.748        0.027           0    10.931        0.024           0 0.880    30  0.720      15   22.44  13.063      0.048  11.629      0.034  10.875      0.026 0      
04295793+2413498    67.491409  24.230503     6.0    15.345        0.094           0    14.445        0.110           0    13.886        0.100           0 0.553     0  0.640     -15   13.27  14.985      0.124  14.348      0.209  13.828      0.181 0      
04295106+2416287    67.462761  24.274664     5.0      null         null        null    14.812        0.172           0    14.205        0.150           0 1.000    90  1.000      90   10.05  15.942      0.254  14.553      0.252  13.914      0.212 0      
04295023+2417345    67.459312  24.292923     5.0    15.199        0.092           3    14.272        0.106           3    13.837        0.108           3 1.000    90  1.000      90   10.05  15.087      0.153  14.134      0.171  13.675      0.171 0      
04295099+2413357    67.462471  24.226608     5.0    15.712        0.147           0    14.818        0.173           3    14.084        0.134           3 1.000    90  1.000      90   10.05  15.542      0.232  14.417      0.218  13.816      0.192 0      
04333278+2414394    68.386604  24.244289     7.7    15.562        0.130           0    14.732        0.163           0    14.286        0.158           0 0.395   -40  0.320     -40   15.12  15.482      0.224  14.311      0.253  14.000      0.220 0      
04325924+2430398    68.246834  24.511057     5.0      null         null        null    14.681        0.157           0    14.130        0.141           0 1.000    90  1.000      90   10.05  16.037      0.283  14.192      0.185  14.002      0.229 0      
04330594+2421284    68.274765  24.357914     6.7    15.140        0.104           0    14.048        0.102           0    13.531        0.093           0 0.720    70  0.720      70   13.26  14.811      0.141  13.585      0.125  13.310      0.139 0      
04321340+2523454    68.055855  25.395952     6.1    15.096        0.105           0    14.279        0.130           0    13.514        0.097           0 1.000    90  1.000      90   11.40  14.826      0.150  14.169      0.216  13.337      0.154 0      
04324196+2501408    68.174843  25.028027     5.8    15.489        0.111           0    14.487        0.117           0    14.192        0.133           0 0.590    35  0.590      35   12.56  15.105      0.142  14.294      0.187  13.964      0.203 0      
04301843+2457337    67.576813  24.959377     6.8    15.163        0.121           0    14.147        0.127           0    13.551        0.111           0 1.000    90  1.000      90   12.21  14.961      0.184  13.923      0.190  13.184      0.147 0      
04320028+2515293    68.001190  25.258162     6.5    15.569        0.120           0    14.874        0.166           0    14.447        0.170           0 0.475   -15  0.475      -5   13.39  15.343      0.225  14.401      0.243  14.177      0.258 0      
04322721+2527494    68.113380  25.463724     5.0    15.312        0.105           0    14.474        0.128           0    13.926        0.117           0 1.000    90  1.000      90   10.05  14.975      0.143  14.311      0.204  13.885      0.208 0      
04322881+2515053    68.120056  25.251499     5.0    15.571        0.133           0    14.751        0.165           0    14.042        0.130           0 1.000    90  1.000      90   10.05  15.523      0.239  14.728      0.310  13.967      0.226 0      
04321871+2504454    68.077965  25.079285     6.7    15.385        0.122           3    14.582        0.153           3    13.691        0.102           3 0.660    -5  0.660      -5   15.86  14.927      0.154  14.542      0.295  13.429      0.153 0      
04300877+2430548    67.536560  24.515224     5.0      null         null        null    14.871        0.179           0    14.197        0.147           0 1.000    90  1.000      90   10.05  16.188      0.309  14.393      0.213  14.089      0.248 0      
04302567+2419311    67.606995  24.325323     7.8    14.575        0.076           0    13.576        0.077           0    12.989        0.079           0 0.740   -20  0.880     -30   13.36  14.370      0.105  13.419      0.112  12.845      0.104 0      
04300709+2441268    67.529572  24.690781     5.1    15.011        0.077           0    14.099        0.089           0    13.614        0.087           0 1.000    90  1.000      90   10.20  14.935      0.133  14.014      0.154  13.455      0.138 0      
04300372+2444328    67.515511  24.742449     5.2    15.054        0.061           0    14.487        0.097           0    14.243        0.118           0 0.563     0  0.563       0   11.56  14.888      0.099  14.285      0.149  14.150      0.201 0      
04302202+2420411    67.591751  24.344765     5.0    15.763        0.154           0    14.827        0.167           0    14.317        0.165           0 1.000    90  1.000      90   10.05  15.517      0.236  14.516      0.231  14.015      0.232 0      
04303782+2417241    67.657585  24.290041     5.0    15.546        0.126           0    14.524        0.126           0    14.464        0.189           0 1.000    90  1.000      90    5.00  15.546      0.126  14.524      0.126  14.464      0.189 0      
04320220+2436523    68.009171  24.614552     5.1    15.577        0.098           0    14.512        0.098           0    14.188        0.112           0 0.550    90  0.550      90   10.16  15.210      0.139  14.223      0.137  14.016      0.186 0      
